标题,价格,评价数,店铺,详情页
Apple/苹果 iPhone16（A3288）256GB 白色 支持移动联通电信5G 双卡双待手机,5969.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621616.html
Apple/苹果 iPhone16（A3288）128GB 白色 支持移动联通电信5G 双卡双待手机,5173.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621650.html
Apple/苹果 iPhone16 Pro Max 手机原装国行双卡双待 支持移动联通电信 5G 黑色钛金属 256GB 国行 标准版,9199.00,1000+,Apple恒天辉专卖店,https://item.jd.com/10122009884819.html
Apple/苹果 iPhone16（A3288）256GB 黑色 支持移动联通电信5G 双卡双待手机,5969.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100118874275.html
Apple【国行补贴】苹果16pro iPhone16pro 16pro 苹果手机 Asis机 16pro 6.3英寸 原色钛金属 256GB 【原装未使用+豪华大礼包】,7088.00,1万+,小王优品手机专营店,https://item.jd.com/10119136826053.html
Apple/苹果 iPhone16（A3288）256GB 深青色 支持移动联通电信5G 双卡双待手机,5969.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621666.html
Apple/苹果 iPhone16（A3288）128GB 黑色 支持移动联通电信5G 双卡双待手机,5173.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621636.html
Apple/苹果 iPhone16（A3288）128GB 群青色 支持移动联通电信5G 双卡双待手机,5173.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621662.html
【24期免息】苹果16promax iphone16promax5G全网通双卡双待手机 16ProMax 白色钛金属 256GB 公开版+12期免息,8399.00,500+,芭莎米亚数码买手店,https://item.jd.com/10141551918434.html
Apple/苹果 iPhone16 256GB 白色 支持移动联通电信5G 手机【返移动话费券】,5869.51,5万+,中国移动京东自营旗舰店,https://item.jd.com/100130562863.html
Apple/苹果 iPhone16（A3288）256GB 粉色 支持移动联通电信5G 双卡双待手机,5969.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621630.html
Apple/苹果 iPhone16 256GB 黑色 支持移动联通电信5G 手机【返移动话费券】,5869.51,5万+,中国移动京东自营旗舰店,https://item.jd.com/100160152628.html
【次日达】苹果16promax iPhone16PROMAX双卡双待全网通5G手机 16promax 沙漠色钛金属 512GB 公开版标配【720天质保】,8489.00,500+,聚纹荟手机买手店,https://item.jd.com/10137715463721.html
Apple/苹果 iPhone16 Pro Max（A3297）256GB 白色钛金属 支持移动联通电信5G 双卡双待手机,9252.51,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100118874245.html
Apple/苹果 iPhone16 256GB 深青色 支持移动联通电信5G 手机【返移动话费券】,5869.51,5万+,中国移动京东自营旗舰店,https://item.jd.com/100160152590.html
Apple/苹果 iPhone16 Pro 256GB 原色钛金属 支持移动联通电信5G 手机【返移动话费券】,7859.51,5万+,中国移动京东自营旗舰店,https://item.jd.com/100129544357.html
Apple【国行补贴】苹果16promax iphone16promax 16max Asis机 16promax 6.9英寸 黑色钛金属 256GB 【原装未使用+豪华大礼包】,7728.00,2万+,小王优品手机专营店,https://item.jd.com/10115805898565.html
Apple/苹果 iPhone16（A3288）128GB 深青色 支持移动联通电信5G 双卡双待手机,5173.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621640.html
Apple/苹果 iPhone16 128GB 黑色 支持移动联通电信5G 手机【返移动话费券】,5073.51,5万+,中国移动京东自营旗舰店,https://item.jd.com/100130562855.html
Apple/苹果 iPhone16 128GB 白色 双卡双待手机【送联通话费券】,5173.01,10万+,中国联通京东自营旗舰店,https://item.jd.com/100142909908.html
Apple【限时补贴】iPhone16 Pro 苹果16pro双卡资源手机全网通5G iPhone16Pro 白色钛金属 256GB【原装未使用】,6908.00,1000+,顺电数码买手店,https://item.jd.com/10140419172456.html
Apple/苹果 iPhone16 Pro 256GB 白色钛金属 支持移动联通电信5G 手机【返移动话费券】,7859.51,5万+,中国移动京东自营旗舰店,https://item.jd.com/100129544335.html
Apple/苹果 iPhone16（A3288）128GB 粉色 支持移动联通电信5G 双卡双待手机,5173.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621614.html
Apple/苹果 iPhone16 Pro 256GB 黑色钛金属 双卡双待手机【送联通话费券】,7859.51,20万+,中国联通京东自营旗舰店,https://item.jd.com/100142884052.html
Apple/苹果 iPhone16 Pro 支持移动联通电信5G 全网通 双卡双待手机 黑色钛金属 256GB 白条24期分期免息【热销】,8849.00,2000+,Apple产品扬笛教育优惠专卖店,https://item.jd.com/10121296007847.html
Apple/苹果【国家补贴】新品发布 iPhone16e（A3410）128GB 白色 支持移动联通电信5G 双卡双待手机,4476.51,2万+,Apple产品京东自营旗舰店,https://item.jd.com/100191999926.html
Apple/苹果 iPhone16（A3288）256GB 群青色 支持移动联通电信5G 双卡双待手机,5969.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621648.html
Apple/苹果 iPhone16 Pro 256GB 黑色钛金属 支持移动联通电信5G 手机【返移动话费券】,7859.51,5万+,中国移动京东自营旗舰店,https://item.jd.com/100158623618.html
【快至次日达】iPhone15Pro 苹果15pro 5G手机全网通 原装正品 A16 苹果手机 白色钛金属 128GB【全网通+配件套装】,5788.00,1000+,绵深店,https://item.jd.com/10101740762596.html
Apple/苹果 iPhone16 Pro Max（A3297）256GB 沙漠色钛金属 支持移动联通电信5G 双卡双待手机,9252.51,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100118874251.html
Apple/苹果 iPhone16（A3288）256GB 白色 支持移动联通电信5G 双卡双待手机,5969.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621616.html
Apple/苹果 iPhone16（A3288）128GB 白色 支持移动联通电信5G 双卡双待手机,5173.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621650.html
Apple/苹果 iPhone16 Pro Max 手机原装国行双卡双待 支持移动联通电信 5G 黑色钛金属 256GB 国行 标准版,9199.00,1000+,Apple恒天辉专卖店,https://item.jd.com/10122009884819.html
Apple/苹果 iPhone16（A3288）256GB 黑色 支持移动联通电信5G 双卡双待手机,5969.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100118874275.html
Apple【国行补贴】苹果16pro iPhone16pro 16pro 苹果手机 Asis机 16pro 6.3英寸 原色钛金属 256GB 【原装未使用+豪华大礼包】,7088.00,1万+,小王优品手机专营店,https://item.jd.com/10119136826053.html
Apple/苹果 iPhone16（A3288）256GB 深青色 支持移动联通电信5G 双卡双待手机,5969.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621666.html
Apple/苹果 iPhone16（A3288）128GB 黑色 支持移动联通电信5G 双卡双待手机,5173.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621636.html
Apple/苹果 iPhone16（A3288）128GB 群青色 支持移动联通电信5G 双卡双待手机,5173.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621662.html
【24期免息】苹果16promax iphone16promax5G全网通双卡双待手机 16ProMax 白色钛金属 256GB 公开版+12期免息,8399.00,500+,芭莎米亚数码买手店,https://item.jd.com/10141551918434.html
Apple/苹果 iPhone16 256GB 白色 支持移动联通电信5G 手机【返移动话费券】,5869.51,5万+,中国移动京东自营旗舰店,https://item.jd.com/100130562863.html
Apple/苹果 iPhone16（A3288）256GB 粉色 支持移动联通电信5G 双卡双待手机,5969.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621630.html
Apple/苹果 iPhone16 256GB 黑色 支持移动联通电信5G 手机【返移动话费券】,5869.51,5万+,中国移动京东自营旗舰店,https://item.jd.com/100160152628.html
【次日达】苹果16promax iPhone16PROMAX双卡双待全网通5G手机 16promax 沙漠色钛金属 512GB 公开版标配【720天质保】,8489.00,500+,聚纹荟手机买手店,https://item.jd.com/10137715463721.html
Apple/苹果 iPhone16 Pro Max（A3297）256GB 白色钛金属 支持移动联通电信5G 双卡双待手机,9252.51,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100118874245.html
Apple/苹果 iPhone16 256GB 深青色 支持移动联通电信5G 手机【返移动话费券】,5869.51,5万+,中国移动京东自营旗舰店,https://item.jd.com/100160152590.html
Apple/苹果 iPhone16 Pro 256GB 原色钛金属 支持移动联通电信5G 手机【返移动话费券】,7859.51,5万+,中国移动京东自营旗舰店,https://item.jd.com/100129544357.html
Apple【国行补贴】苹果16promax iphone16promax 16max Asis机 16promax 6.9英寸 黑色钛金属 256GB 【原装未使用+豪华大礼包】,7728.00,2万+,小王优品手机专营店,https://item.jd.com/10115805898565.html
Apple/苹果 iPhone16（A3288）128GB 深青色 支持移动联通电信5G 双卡双待手机,5173.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621640.html
Apple/苹果 iPhone16 128GB 黑色 支持移动联通电信5G 手机【返移动话费券】,5073.51,5万+,中国移动京东自营旗舰店,https://item.jd.com/100130562855.html
Apple/苹果 iPhone16 128GB 白色 双卡双待手机【送联通话费券】,5173.01,10万+,中国联通京东自营旗舰店,https://item.jd.com/100142909908.html
Apple【限时补贴】iPhone16 Pro 苹果16pro双卡资源手机全网通5G iPhone16Pro 白色钛金属 256GB【原装未使用】,6908.00,1000+,顺电数码买手店,https://item.jd.com/10140419172456.html
Apple/苹果 iPhone16 Pro 256GB 白色钛金属 支持移动联通电信5G 手机【返移动话费券】,7859.51,5万+,中国移动京东自营旗舰店,https://item.jd.com/100129544335.html
Apple/苹果 iPhone16（A3288）128GB 粉色 支持移动联通电信5G 双卡双待手机,5173.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621614.html
Apple/苹果 iPhone16 Pro 256GB 黑色钛金属 双卡双待手机【送联通话费券】,7859.51,20万+,中国联通京东自营旗舰店,https://item.jd.com/100142884052.html
Apple/苹果 iPhone16 Pro 支持移动联通电信5G 全网通 双卡双待手机 黑色钛金属 256GB 白条24期分期免息【热销】,8849.00,2000+,Apple产品扬笛教育优惠专卖店,https://item.jd.com/10121296007847.html
Apple/苹果【国家补贴】新品发布 iPhone16e（A3410）128GB 白色 支持移动联通电信5G 双卡双待手机,4476.51,2万+,Apple产品京东自营旗舰店,https://item.jd.com/100191999926.html
Apple/苹果 iPhone16（A3288）256GB 群青色 支持移动联通电信5G 双卡双待手机,5969.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621648.html
Apple/苹果 iPhone16 Pro 256GB 黑色钛金属 支持移动联通电信5G 手机【返移动话费券】,7859.51,5万+,中国移动京东自营旗舰店,https://item.jd.com/100158623618.html
【快至次日达】iPhone15Pro 苹果15pro 5G手机全网通 原装正品 A16 苹果手机 白色钛金属 128GB【全网通+配件套装】,5788.00,1000+,绵深店,https://item.jd.com/10101740762596.html
Apple/苹果 iPhone16 Pro Max（A3297）256GB 沙漠色钛金属 支持移动联通电信5G 双卡双待手机,9252.51,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100118874251.html
Apple/苹果 iPhone16 Pro 256GB 原色钛金属 双卡双待手机【送联通话费券】,7859.51,20万+,中国联通京东自营旗舰店,https://item.jd.com/100142883958.html
Apple/苹果 iPhone16 Pro（A3294）256GB 沙漠色钛金属 支持移动联通电信5G 双卡双待手机,8257.51,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621580.html
【现货速发】苹果 iPhone16ProMax 支持移动联通电信5G全网通 国行正品 双卡双待手机 原色钛金属 256GB【原装未使用+豪华大礼包】,7608.00,1000+,京耀优选手机专营店,https://item.jd.com/10097605180685.html
Apple/苹果 iPhone16 Plus（A3291）128GB 白色 支持移动联通电信5G 双卡双待手机,5969.01,20万+,Apple产品京东自营旗舰店,https://item.jd.com/100118874285.html
Apple/苹果 iPhone16 Pro Max 256GB 黑色钛金属 支持移动联通电信5G 手机【返移动话费券】,8854.51,5万+,中国移动京东自营旗舰店,https://item.jd.com/100158623646.html
Apple/苹果 iPhone16 Pro（A3294）128GB 白色钛金属 支持移动联通电信5G 双卡双待手机,7262.51,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621626.html
【国行补贴】苹果16ProMaxiPhone16ProMax准新原装5G双卡资源手机 iPhone16 白色 128GB【原装未使用】,4658.00,1000+,顺电数码买手店,https://item.jd.com/10139499113704.html
Apple/苹果 iPhone16（A3288）512GB 白色 支持移动联通电信5G 双卡双待手机,8158.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100118874259.html
Apple/苹果 iPhone16 128GB 深青色 双卡双待手机【送联通话费券】,5173.01,10万+,中国联通京东自营旗舰店,https://item.jd.com/100142909948.html
Apple/苹果 iPhone16 Pro Max（A3297）256GB 白色钛金属 支持移动联通电信5G 双卡双待手机,9252.51,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100118874245.html
Apple【国行补贴】苹果16promax iphone16promax 16max Asis机 16promax 6.9英寸 白色钛金属 256GB 【原装未使用+豪华大礼包】,7678.00,2万+,小王优品手机专营店,https://item.jd.com/10115805898533.html
Apple/苹果 iPhone16 Pro 256GB 白色钛金属 双卡双待手机【送联通话费券】,7859.51,20万+,中国联通京东自营旗舰店,https://item.jd.com/100142884016.html
Apple/苹果 iPhone16 Pro 128GB 白色钛金属 支持移动联通电信5G 手机【返移动话费券】,6964.01,5万+,中国移动京东自营旗舰店,https://item.jd.com/100158623608.html
Apple/苹果 iPhone16 Plus（A3291）256GB 黑色 支持移动联通电信5G 双卡双待手机,7163.01,20万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621652.html
Apple/苹果 iPhone16 Pro (A3294) 512GB 白色钛金属 支持移动联通电信5G 双卡双待手机,10247.51,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621602.html
Apple/苹果【国家补贴】新品发布 iPhone16e（A3410）128GB 白色 支持移动联通电信5G 双卡双待手机,4476.51,2万+,Apple产品京东自营旗舰店,https://item.jd.com/100191999926.html
Apple/苹果 iPhone16 Pro 128GB 原色钛金属 支持移动联通电信5G 手机【返移动话费券】,6964.01,5万+,中国移动京东自营旗舰店,https://item.jd.com/100129544351.html
【24期免息】 iPhone16 Pro苹果16pro 双卡双待游戏5G手机全网通 白色钛金属 256GB 公开版+12期免息,7549.00,42,三火全球买手店,https://item.jd.com/10145008554861.html
Apple/苹果 iPhone16 256GB 白色 双卡双待手机【送联通话费券】,5969.01,10万+,中国联通京东自营旗舰店,https://item.jd.com/100142909942.html
Apple/苹果 iPhone16 Pro（A3294）128GB 黑色钛金属 支持移动联通电信5G 双卡双待手机,7262.51,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100118874267.html
Apple/苹果 iPhone16 Plus（A3291）128GB 群青色 支持移动联通电信5G 双卡双待手机,5969.01,20万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621664.html
Apple 苹果16ProMax 苹果16pro iPhone16 5G全网通双卡双待手机 iPhone16 白色6.1英寸 128GB 公开版标配+质保2年,4688.00,49,汇雅帕手机通讯买手店,https://item.jd.com/10141729461266.html
Apple/苹果 iPhone16 Plus（A3291）128GB 黑色 支持移动联通电信5G 双卡双待手机,5969.01,20万+,Apple产品京东自营旗舰店,https://item.jd.com/100118874271.html
Apple/苹果 iPhone16 Pro 256GB 沙漠色钛金属 支持移动联通电信5G 手机【返移动话费券】,7859.51,5万+,中国移动京东自营旗舰店,https://item.jd.com/100158623606.html
Apple/苹果 iPhone16 Pro 128GB 沙漠色钛金属 支持移动联通电信5G 手机【返移动话费券】,6964.01,5万+,中国移动京东自营旗舰店,https://item.jd.com/100129544345.html
【24期免息】苹果16promax iphone16promax5G全网通双卡双待手机 iPhone16 promax 白色钛金属 1TB 公开版,9696.00,100+,芭莎米亚数码买手店,https://item.jd.com/10139818658220.html
Apple/苹果 iPhone16 128GB 黑色 双卡双待手机【送联通话费券】,5173.01,10万+,中国联通京东自营旗舰店,https://item.jd.com/100119065939.html
Apple/苹果 iPhone16 Pro 128GB 白色钛金属 双卡双待手机【送联通话费券】,6964.01,20万+,中国联通京东自营旗舰店,https://item.jd.com/100119048899.html
Apple/苹果 iPhone16 Plus（A3291）256GB 白色 支持移动联通电信5G 双卡双待手机,7163.01,20万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621610.html
